;R 1;DTR AB_R_1000,csv;DTR AB_R_2000,csv;DTR AB_R_3000,csv;DTR AB_R_4000,csv;DTR AB_R_5000,csv;DTR QL_10k_R_1000,csv;DTR QL_10k_R_2000,csv;DTR QL_10k_R_3000,csv;DTR QL_10k_R_4000,csv;DTR QL_10k_R_5000,csv;DTR QL_1k_R_1000,csv;DTR QL_1k_R_2000,csv;DTR QL_1k_R_3000,csv;DTR QL_1k_R_4000,csv;DTR QL_1k_R_5000,csv;DTR R_R_1000,csv;DTR R_R_2000,csv;DTR R_R_3000,csv;DTR R_R_4000,csv;DTR R_R_5000,csv;[None, None, None]
R 1;0;78,3;84,7;88,1;88,5;86,9;66,8;71,7;66,10000000000001;67,0;61,3;78,9;81,69999999999999;87,3;89,0;88,8;83,0;84,5;90,60000000000001;94,89999999999999;95,6;[None, None, None]
DTR AB_R_1000,csv;43,4;0;94,3;46,6;72,2;82,8;49,0;34,300000000000004;62,7;61,9;32,7;78,3;43,9;66,2;48,699999999999996;68,5;81,8;92,60000000000001;89,4;100,0;64,2;[None, None, None]
DTR AB_R_2000,csv;48,1;73,2;0;95,7;82,8;88,1;51,7;40,400000000000006;48,699999999999996;40,8;54,300000000000004;62,5;89,60000000000001;91,60000000000001;100,0;93,4;38,7;100,0;93,60000000000001;94,3;100,0;[None, None, None]
DTR AB_R_3000,csv;34,699999999999996;54,300000000000004;23,799999999999997;0;62,4;81,8;50,4;42,0;58,099999999999994;56,3;46,800000000000004;66,9;32,9;51,1;44,2;57,099999999999994;53,6;46,800000000000004;100,0;100,0;81,89999999999999;[None, None, None]
DTR AB_R_4000,csv;31,900000000000002;48,1;49,6;61,7;0;98,2;45,5;43,9;59,9;60,099999999999994;44,800000000000004;62,4;24,9;66,10000000000001;54,50000000000001;58,099999999999994;51,2;65,9;100,0;100,0;56,2;[None, None, None]
DTR AB_R_5000,csv;29,4;44,3;32,1;66,60000000000001;84,39999999999999;0;61,4;53,300000000000004;48,5;46,5;57,8;40,6;43,0;81,89999999999999;84,0;100,0;46,9;65,2;0,0;50,4;78,60000000000001;[None, None, None]
DTR QL_10k_R_1000,csv;54,0;86,4;88,8;84,39999999999999;98,6;96,2;0;58,4;43,3;52,300000000000004;56,699999999999996;66,10000000000001;69,0;75,9;96,8;84,0;78,9;97,0;100,0;100,0;100,0;[None, None, None]
DTR QL_10k_R_2000,csv;47,4;81,5;71,1;83,3;86,5;89,5;54,1;0;40,699999999999996;26,900000000000002;25,4;67,7;58,099999999999994;61,7;89,0;88,4;85,0;100,0;83,1;100,0;100,0;[None, None, None]
DTR QL_10k_R_3000,csv;56,10000000000001;100,0;97,2;80,10000000000001;90,7;91,0;62,7;57,199999999999996;0;31,1;31,8;69,39999999999999;76,5;60,9;87,9;88,8;63,4;100,0;100,0;100,0;100,0;[None, None, None]
DTR QL_10k_R_4000,csv;50,7;89,8;91,10000000000001;87,5;89,2;91,60000000000001;41,4;50,9;35,6;0;46,2;43,9;61,7;61,199999999999996;90,2;91,5;70,7;94,19999999999999;94,69999999999999;100,0;100,0;[None, None, None]
DTR QL_10k_R_5000,csv;46,9;67,30000000000001;68,5;89,9;93,60000000000001;88,8;47,4;46,400000000000006;36,0;45,0;0;48,1;71,8;63,5;87,7;88,3;82,89999999999999;85,3;71,6;100,0;100,0;[None, None, None]
DTR QL_1k_R_1000,csv;51,7;72,89999999999999;84,8;87,2;90,8;94,39999999999999;28,1;56,00000000000001;28,7;35,699999999999996;72,3;0;76,3;84,7;92,60000000000001;100,0;94,8;80,10000000000001;96,8;79,80000000000001;100,0;[None, None, None]
DTR QL_1k_R_2000,csv;38,9;74,5;82,69999999999999;78,2;89,4;91,2;33,1;41,099999999999994;16,6;35,8;84,89999999999999;67,9;0;51,2;57,3;100,0;80,0;79,4;86,6;73,6;100,0;[None, None, None]
DTR QL_1k_R_3000,csv;40,400000000000006;66,9;81,0;76,0;79,60000000000001;88,1;42,0;52,5;0,0;41,5;100,0;49,1;75,3;0;55,900000000000006;98,5;100,0;100,0;100,0;94,3;91,10000000000001;[None, None, None]
DTR QL_1k_R_4000,csv;43,1;69,89999999999999;86,9;70,89999999999999;83,3;85,39999999999999;37,3;52,6;16,2;36,4;91,8;55,400000000000006;54,7;100,0;0;83,89999999999999;81,0;100,0;100,0;75,7;51,1;[None, None, None]
DTR QL_1k_R_5000,csv;35,3;68,89999999999999;82,0;70,89999999999999;92,4;83,39999999999999;28,799999999999997;62,1;0,0;39,5;55,900000000000006;53,0;87,0;92,80000000000001;100,0;0;75,3;100,0;100,0;73,0;49,5;[None, None, None]
DTR R_R_1000,csv;31,5;64,9;51,300000000000004;81,2;74,3;58,9;29,299999999999997;38,9;38,3;36,4;34,599999999999994;67,2;50,8;80,2;96,2;79,3;0;68,8;40,6;100,0;100,0;[None, None, None]
DTR R_R_2000,csv;28,7;55,2;68,7;79,4;75,5;49,8;21,5;33,7;36,199999999999996;23,9;28,7;28,799999999999997;30,4;49,8;75,0;76,0;49,8;0;13,5;84,8;49,7;[None, None, None]
DTR R_R_3000,csv;21,099999999999998;54,6;84,1;82,8;100,0;41,5;20,9;33,7;35,8;16,400000000000002;26,1;0,0;24,3;0,0;62,1;0,0;51,2;48,1;0;47,599999999999994;0,0;[None, None, None]
DTR R_R_4000,csv;17,4;42,9;70,8;54,2;59,699999999999996;48,4;17,299999999999997;28,000000000000004;28,199999999999996;26,0;24,8;0,0;11,3;0,0;63,2;0,0;23,0;24,2;16,0;0;0,0;[None, None, None]
DTR R_R_5000,csv;13,3;30,099999999999998;63,9;50,9;54,800000000000004;24,0;24,6;18,9;28,000000000000004;20,200000000000003;24,099999999999998;0,0;5,7;0,0;49,6;47,699999999999996;32,6;32,9;0,0;0,0;0;[None, None, None]
